Tarih,TuketiciFiyatEndeksi,,,,,
01/01/2019,398.07,,,,,
01/02/2019,398.71,,,,,
01/03/2019,402.81,,,,,
01/04/2019,409.63,,,,,
01/05/2019,413.52,,,,,
01/06/2019,413.63,,,,,
01/07/2019,419.24,,,,,
01/08/2019,422.84,,,,,
01/09/2019,427.04,,,,,
01/10/2019,435.59,,,,,
01/11/2019,437.25,,,,,
01/12/2019,440.5,,,,,
01/01/2020,446.45,,,,,
01/02/2020,448.02,,,,,
01/03/2020,450.58,,,,,
01/04/2020,454.43,,,,,
01/05/2020,460.62,,,,,
01/06/2020,465.84,,,,,
01/07/2020,468.56,,,,,
01/08/2020,472.61,,,,,
01/09/2020,477.21,,,,,
01/10/2020,487.38,,,,,
01/11/2020,498.58,,,,,
01/12/2020,504.81,,,,,
01/01/2021,513.3,,,,,
01/02/2021,517.96,,,,,
01/03/2021,523.53,,,,,
01/04/2021,532.32,,,,,
01/05/2021,537.05,,,,,
01/06/2021,547.48,,,,,
01/07/2021,557.36,,,,,
01/08/2021,563.6,,,,,
01/09/2021,570.66,,,,,
01/10/2021,584.32,,,,,
01/11/2021,604.84,,,,,
01/12/2021,686.95,,,,,
01/01/2022,763.23,,,,,
01/02/2022,799.93,,,,,
01/03/2022,843.64,,,,,
01/04/2022,904.79,,,,,
01/05/2022,931.76,,,,,
01/06/2022,977.9,,,,,
01/07/2022,1001.03,,,,,
01/08/2022,1015.65,,,,,
01/09/2022,1046.89,,,,,
01/10/2022,1084,,,,,
01/11/2022,1115.26,,,,,
01/12/2022,1128.45,,,,,
01/01/2023,1203.48,,,,,
01/02/2023,1241.33,,,,,
01/03/2023,1269.75,,,,,
01/04/2023,1300.04,,,,,
01/05/2023,1300.6,,,,,
01/06/2023,1351.59,,,,,
01/07/2023,1479.84,,,,,
01/08/2023,1614.31,,,,,
01/09/2023,1691.04,,,,,
01/10/2023,1749.11,,,,,
01/11/2023,1806.5,,,,,
01/12/2023,1859.38,,,,,
01/01/2024,1984.02,,,,,
01/02/2024,2073.88,,,,,
01/03/2024,2139.47,,,,,
01/04/2024,2207.5,,,,,
01/05/2024,2281.85,,,,,
01/06/2024,2319.29,,,,,
01/07/2024,2394.1,,,,,
01/08/2024,2453.34,,,,,
01/09/2024,2526.16,,,,,
01/10/2024,2598.91,,,,,
01/11/2024,2657.23,,,,,
01/12/2024,2684.55,,,,,
